Title,Category,Language,Site,Level,Price,Rating,Duration,Skills,Number of viewers,Instructors,Program Type
Reinforcement Learning Specialization,Data Science,English,Coursera,Intermediate,855,4.8,5,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ",2965,"Martha White ,Adam White ,",Free Course
Accelerated Computer Science Fundamentals Specialization,Computer Science,English,Coursera,Intermediate,855,4.7,3,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ",2340,"Wade Fagen-Ulmschneider ,",Free Course
Digital Marketing Specialization,Business,English,Coursera,Intermediate,855,4.6,8,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ",16501,"Aric Rindfleisch ,Kevin Hartman ,Mike Yao ,Vishal Sachdev ,",Free Course
DevOps on AWS Specialization,Computer Science,English,Coursera,Intermediate,855,4.7,3,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ",811,"Morgan Willis ,Seph Robinson ,Rafael Lopes ,Russell Sayers ,Alana Layton ,",Free Course
Generative Adversarial Networks (GANs) Specialization,Data Science,English,Coursera,Intermediate,855,4.7,3,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ",1902,"Sharon Zhou ,Eda Zhou ,Eric Zelikman ,",Free Course
Data Visualization with Tableau Specialization,Data Science,English,Coursera,Intermediate,855,4.5,6,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ",6556,"Desiree' Abbott ,Govind Acharya ,Hunter Whitney ,Suk S. Brar, M.B.A. ,",Free Course
Certified in Cybersecurity Specialization,Information Technology,English,Coursera,Intermediate,855,4.6,8,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ",114,"(ISC)² Education & Training ,",Free Course
Business Strategy Specialization,Business,English,Coursera,Intermediate,855,4.8,6,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ",2524,"Michael Lenox ,Jared Harris ,Scott Snell ,",Free Course
Applied Data Science with Python Specialization,Data Science,English,Coursera,Intermediate,855,4.5,5,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",25522,"Christopher Brooks ,Kevyn Collins-Thompson ,V. G. Vinod Vydiswaran ,Daniel Romero ,",Free Course
Human Resource Management: HR for People Managers Specialization,Business,English,Coursera,Intermediate,855,4.8,6,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, ",10827,"John W. Budd ,Amy Simon ,Stacy Doepner-Hove ,Larry Bourgerie ,Alan Benson ,Mike Davis ,",Free Course
